master_id,entry_type,russian,russian_no_accent,japanese,pos,gender,number,imperfective,perfective,aspect_pair_key,case_pattern,source_rounds,source_sections,source_context,frequency,duplicate_group,level,category,card_direction,front,answer,back,tags,needs_review,review_status,review_note,include_in_app,original_card_ids,confidence,,,,,,,,,,
m0251,verb_pair,запреща́ть — запрети́ть,запрещать — запретить,禁止する,動詞,,,запреща́ть,запрети́ть,запрещать—запретить,,72,文法II,動詞の体・時制選択,1,запрещать — запретить,2,verb,ru→ja / ja→ru候補,запреща́ть — запрети́ть,禁止する,"答え：禁止する
品詞：動詞
不完了体：запреща́ть
完了体：запрети́ть
出典候補：第72回
状態：校正用・未確認",russian2,動詞対,不完了体,完了体,校正用,yes,未確認,v03追加。出典回・アクセント・訳語を要確認。,no,,0.7,,,,,,
m0252,verb_pair,увели́чивать — увели́чить,увеличивать — увеличить,増やす,動詞,,,увели́чивать,увели́чить,увеличивать—увеличить,,74,文法II,動詞の体・時制選択,1,увеличивать — увеличить,2,verb,ru→ja / ja→ru候補,увели́чивать — увели́чить,増やす,"答え：増やす
品詞：動詞
不完了体：увели́чивать
完了体：увели́чить
出典候補：第74回
状態：校正用・未確認",russian2,動詞対,不完了体,完了体,校正用,yes,未確認,v03追加。出典回・アクセント・訳語を要確認。,no,,0.7,,,,,,
m0253,verb_pair,уменьша́ть — уме́ньшить,уменьшать — уменьшить,減らす,動詞,,,уменьша́ть,уме́ньшить,уменьшать—уменьшить,,76,文法II,動詞の体・時制選択,1,уменьшать — уменьшить,2,verb,ru→ja / ja→ru候補,уменьша́ть — уме́ньшить,減らす,"答え：減らす
品詞：動詞
不完了体：уменьша́ть
完了体：уме́ньшить
出典候補：第76回
状態：校正用・未確認",russian2,動詞対,不完了体,完了体,校正用,yes,未確認,v03追加。出典回・アクセント・訳語を要確認。,no,,0.7,,,,,,
m0254,verb_pair,снижа́ть — сни́зить,снижать — снизить,下げる／低下させる,動詞,,,снижа́ть,сни́зить,снижать—снизить,,78,文法II,動詞の体・時制選択,1,снижать — снизить,2,verb,ru→ja / ja→ru候補,снижа́ть — сни́зить,下げる／低下させる,"答え：下げる／低下させる
品詞：動詞
不完了体：снижа́ть
完了体：сни́зить
出典候補：第78回
状態：校正用・未確認",russian2,動詞対,不完了体,完了体,校正用,yes,未確認,v03追加。出典回・アクセント・訳語を要確認。,no,,0.7,,,,,,
m0255,verb_pair,повыша́ть — повы́сить,повышать — повысить,高める／上げる,動詞,,,повыша́ть,повы́сить,повышать—повысить,,82,文法II,動詞の体・時制選択,1,повышать — повысить,2,verb,ru→ja / ja→ru候補,повыша́ть — повы́сить,高める／上げる,"答え：高める／上げる
品詞：動詞
不完了体：повыша́ть
完了体：повы́сить
出典候補：第82回
状態：校正用・未確認",russian2,動詞対,不完了体,完了体,校正用,yes,未確認,v03追加。出典回・アクセント・訳語を要確認。,no,,0.7,,,,,,
m0256,verb_pair,улучша́ть — улу́чшить,улучшать — улучшить,改善する,動詞,,,улучша́ть,улу́чшить,улучшать—улучшить,,84,文法II,動詞の体・時制選択,1,улучшать — улучшить,2,verb,ru→ja / ja→ru候補,улучша́ть — улу́чшить,改善する,"答え：改善する
品詞：動詞
不完了体：улучша́ть
完了体：улу́чшить
出典候補：第84回
状態：校正用・未確認",russian2,動詞対,不完了体,完了体,校正用,yes,未確認,v03追加。出典回・アクセント・訳語を要確認。,no,,0.7,,,,,,
m0257,verb_pair,ухудша́ть — уху́дшить,ухудшать — ухудшить,悪化させる,動詞,,,ухудша́ть,уху́дшить,ухудшать—ухудшить,,86,文法II,動詞の体・時制選択,1,ухудшать — ухудшить,2,verb,ru→ja / ja→ru候補,ухудша́ть — уху́дшить,悪化させる,"答え：悪化させる
品詞：動詞
不完了体：ухудша́ть
完了体：уху́дшить
出典候補：第86回
状態：校正用・未確認",russian2,動詞対,不完了体,完了体,校正用,yes,未確認,v03追加。出典回・アクセント・訳語を要確認。,no,,0.7,,,,,,
m0258,verb_pair,меня́ть — поменя́ть,менять — поменять,変える,動詞,,,меня́ть,поменя́ть,менять—поменять,,60,文法II,動詞の体・時制選択,1,менять — поменять,2,verb,ru→ja / ja→ru候補,меня́ть — поменя́ть,変える,"答え：変える
品詞：動詞
不完了体：меня́ть
完了体：поменя́ть
出典候補：第60回
状態：校正用・未確認",russian2,動詞対,不完了体,完了体,校正用,yes,未確認,v03追加。出典回・アクセント・訳語を要確認。,no,,0.7,,,,,,
m0259,verb_pair,изменя́ть — измени́ть,изменять — изменить,変更する／変化させる,動詞,,,изменя́ть,измени́ть,изменять—изменить,,62,文法II,動詞の体・時制選択,1,изменять — изменить,2,verb,ru→ja / ja→ru候補,изменя́ть — измени́ть,変更する／変化させる,"答え：変更する／変化させる
品詞：動詞
不完了体：изменя́ть
完了体：измени́ть
出典候補：第62回
状態：校正用・未確認",russian2,動詞対,不完了体,完了体,校正用,yes,未確認,v03追加。出典回・アクセント・訳語を要確認。,no,,0.7,,,,,,
m0260,verb_pair,сравнива́ть — сравни́ть,сравнивать — сравнить,比較する,動詞,,,сравнива́ть,сравни́ть,сравнивать—сравнить,,64,文法II,動詞の体・時制選択,1,сравнивать — сравнить,2,verb,ru→ja / ja→ru候補,сравнива́ть — сравни́ть,比較する,"答え：比較する
品詞：動詞
不完了体：сравнива́ть
完了体：сравни́ть
出典候補：第64回
状態：校正用・未確認",russian2,動詞対,不完了体,完了体,校正用,yes,未確認,v03追加。出典回・アクセント・訳語を要確認。,no,,0.7,,,,,,
m0261,verb_pair,оценива́ть — оцени́ть,оценивать — оценить,評価する,動詞,,,оценива́ть,оцени́ть,оценивать—оценить,,66,文法II,動詞の体・時制選択,1,оценивать — оценить,2,verb,ru→ja / ja→ru候補,оценива́ть — оцени́ть,評価する,"答え：評価する
品詞：動詞
不完了体：оценива́ть
完了体：оцени́ть
出典候補：第66回
状態：校正用・未確認",russian2,動詞対,不完了体,完了体,校正用,yes,未確認,v03追加。出典回・アクセント・訳語を要確認。,no,,0.7,,,,,,
m0262,verb_pair,выбира́ть — вы́брать,выбирать — выбрать,選ぶ,動詞,,,выбира́ть,вы́брать,выбирать—выбрать,,68,文法II,動詞の体・時制選択,1,выбирать — выбрать,2,verb,ru→ja / ja→ru候補,выбира́ть — вы́брать,選ぶ,"答え：選ぶ
品詞：動詞
不完了体：выбира́ть
完了体：вы́брать
出典候補：第68回
状態：校正用・未確認",russian2,動詞対,不完了体,完了体,校正用,yes,未確認,v03追加。出典回・アクセント・訳語を要確認。,no,,0.7,,,,,,
m0263,verb_pair,реша́ть — реши́ть,решать — решить,解く／決める,動詞,,,реша́ть,реши́ть,решать—решить,,70,文法II,動詞の体・時制選択,1,решать — решить,2,verb,ru→ja / ja→ru候補,реша́ть — реши́ть,解く／決める,"答え：解く／決める
品詞：動詞
不完了体：реша́ть
完了体：реши́ть
出典候補：第70回
状態：校正用・未確認",russian2,動詞対,不完了体,完了体,校正用,yes,未確認,v03追加。出典回・アクセント・訳語を要確認。,no,,0.7,,,,,,
m0264,verb_pair,получа́ть — получи́ть,получать — получить,受け取る／得る,動詞,,,получа́ть,получи́ть,получать—получить,,72,文法II,動詞の体・時制選択,1,получать — получить,2,verb,ru→ja / ja→ru候補,получа́ть — получи́ть,受け取る／得る,"答え：受け取る／得る
品詞：動詞
不完了体：получа́ть
完了体：получи́ть
出典候補：第72回
状態：校正用・未確認",russian2,動詞対,不完了体,完了体,校正用,yes,未確認,v03追加。出典回・アクセント・訳語を要確認。,no,,0.7,,,,,,
m0265,verb_pair,передава́ть — переда́ть,передавать — передать,渡す／伝える,動詞,,,передава́ть,переда́ть,передавать—передать,,74,文法II,動詞の体・時制選択,1,передавать — передать,2,verb,ru→ja / ja→ru候補,передава́ть — переда́ть,渡す／伝える,"答え：渡す／伝える
品詞：動詞
不完了体：передава́ть
完了体：переда́ть
出典候補：第74回
状態：校正用・未確認",russian2,動詞対,不完了体,完了体,校正用,yes,未確認,v03追加。出典回・アクセント・訳語を要確認。,no,,0.7,,,,,,
m0266,verb_pair,отправля́ть — отпра́вить,отправлять — отправить,送る,動詞,,,отправля́ть,отпра́вить,отправлять—отправить,,76,文法II,動詞の体・時制選択,1,отправлять — отправить,2,verb,ru→ja / ja→ru候補,отправля́ть — отпра́вить,送る,"答え：送る
品詞：動詞
不完了体：отправля́ть
完了体：отпра́вить
出典候補：第76回
状態：校正用・未確認",russian2,動詞対,不完了体,完了体,校正用,yes,未確認,v03追加。出典回・アクセント・訳語を要確認。,no,,0.7,,,,,,
m0267,verb_pair,посыла́ть — посла́ть,посылать — послать,送る,動詞,,,посыла́ть,посла́ть,посылать—послать,,78,文法II,動詞の体・時制選択,1,посылать — послать,2,verb,ru→ja / ja→ru候補,посыла́ть — посла́ть,送る,"答え：送る
品詞：動詞
不完了体：посыла́ть
完了体：посла́ть
出典候補：第78回
状態：校正用・未確認",russian2,動詞対,不完了体,完了体,校正用,yes,未確認,v03追加。出典回・アクセント・訳語を要確認。,no,,0.7,,,,,,
m0268,verb_pair,приглаша́ть — пригласи́ть,приглашать — пригласить,招待する,動詞,,,приглаша́ть,пригласи́ть,приглашать—пригласить,,84,文法II,動詞の体・時制選択,1,приглашать — пригласить,2,verb,ru→ja / ja→ru候補,приглаша́ть — пригласи́ть,招待する,"答え：招待する
品詞：動詞
不完了体：приглаша́ть
完了体：пригласи́ть
出典候補：第84回
状態：校正用・未確認",russian2,動詞対,不完了体,完了体,校正用,yes,未確認,v03追加。出典回・アクセント・訳語を要確認。,no,,0.7,,,,,,
m0269,verb_pair,отвеча́ть — отве́тить,отвечать — ответить,答える,動詞,,,отвеча́ть,отве́тить,отвечать—ответить,,86,文法II,動詞の体・時制選択,1,отвечать — ответить,2,verb,ru→ja / ja→ru候補,отвеча́ть — отве́тить,答える,"答え：答える
品詞：動詞
不完了体：отвеча́ть
完了体：отве́тить
出典候補：第86回
状態：校正用・未確認",russian2,動詞対,不完了体,完了体,校正用,yes,未確認,v03追加。出典回・アクセント・訳語を要確認。,no,,0.7,,,,,,
m0270,verb_pair,сообща́ть — сообщи́ть,сообщать — сообщить,知らせる,動詞,,,сообща́ть,сообщи́ть,сообщать—сообщить,,62,文法II,動詞の体・時制選択,1,сообщать — сообщить,2,verb,ru→ja / ja→ru候補,сообща́ть — сообщи́ть,知らせる,"答え：知らせる
品詞：動詞
不完了体：сообща́ть
完了体：сообщи́ть
出典候補：第62回
状態：校正用・未確認",russian2,動詞対,不完了体,完了体,校正用,yes,未確認,v03追加。出典回・アクセント・訳語を要確認。,no,,0.7,,,,,,
m0271,verb_pair,переводи́ть — перевести́,переводить — перевести,翻訳する／移す,動詞,,,переводи́ть,перевести́,переводить—перевести,,72,文法II,動詞の体・時制選択,1,переводить — перевести,2,verb,ru→ja / ja→ru候補,переводи́ть — перевести́,翻訳する／移す,"答え：翻訳する／移す
品詞：動詞
不完了体：переводи́ть
完了体：перевести́
出典候補：第72回
状態：校正用・未確認",russian2,動詞対,不完了体,完了体,校正用,yes,未確認,v03追加。出典回・アクセント・訳語を要確認。,no,,0.7,,,,,,
m0272,verb_pair,учи́ть — вы́учить,учить — выучить,学ぶ／覚える,動詞,,,учи́ть,вы́учить,учить—выучить,,74,文法II,動詞の体・時制選択,1,учить — выучить,2,verb,ru→ja / ja→ru候補,учи́ть — вы́учить,学ぶ／覚える,"答え：学ぶ／覚える
品詞：動詞
不完了体：учи́ть
完了体：вы́учить
出典候補：第74回
状態：校正用・未確認",russian2,動詞対,不完了体,完了体,校正用,yes,未確認,v03追加。出典回・アクセント・訳語を要確認。,no,,0.7,,,,,,
m0273,verb_pair,занима́ться — заня́ться,заниматься — заняться,従事する／勉強する,動詞,,,занима́ться,заня́ться,заниматься—заняться,,76,文法II,動詞の体・時制選択,1,заниматься — заняться,2,verb,ru→ja / ja→ru候補,занима́ться — заня́ться,従事する／勉強する,"答え：従事する／勉強する
品詞：動詞
不完了体：занима́ться
完了体：заня́ться
出典候補：第76回
状態：校正用・未確認",russian2,動詞対,不完了体,完了体,校正用,yes,未確認,v03追加。出典回・アクセント・訳語を要確認。,no,,0.7,,,,,,
m0274,verb_pair,тренирова́ться — потренирова́ться,тренироваться — потренироваться,練習する,動詞,,,тренирова́ться,потренирова́ться,тренироваться—потренироваться,,78,文法II,動詞の体・時制選択,1,тренироваться — потренироваться,2,verb,ru→ja / ja→ru候補,тренирова́ться — потренирова́ться,練習する,"答え：練習する
品詞：動詞
不完了体：тренирова́ться
完了体：потренирова́ться
出典候補：第78回
状態：校正用・未確認",russian2,動詞対,不完了体,完了体,校正用,yes,未確認,v03追加。出典回・アクセント・訳語を要確認。,no,,0.7,,,,,,
m0275,verb_pair,поступа́ть — поступить,поступать — поступить,入学する／入る,動詞,,,поступа́ть,поступить,поступать—поступить,,84,文法II,動詞の体・時制選択,1,поступать — поступить,2,verb,ru→ja / ja→ru候補,поступа́ть — поступить,入学する／入る,"答え：入学する／入る
品詞：動詞
不完了体：поступа́ть
完了体：поступить
出典候補：第84回
状態：校正用・未確認",russian2,動詞対,不完了体,完了体,校正用,yes,未確認,v03追加。出典回・アクセント・訳語を要確認。,no,,0.7,,,,,,
m0276,verb_pair,прово́дить — провести́,проводить — провести,過ごす／実施する,動詞,,,прово́дить,провести́,проводить—провести,,60,文法II,動詞の体・時制選択,1,проводить — провести,2,verb,ru→ja / ja→ru候補,прово́дить — провести́,過ごす／実施する,"答え：過ごす／実施する
品詞：動詞
不完了体：прово́дить
完了体：провести́
出典候補：第60回
状態：校正用・未確認",russian2,動詞対,不完了体,完了体,校正用,yes,未確認,v03追加。出典回・アクセント・訳語を要確認。,no,,0.7,,,,,,
m0277,verb_pair,провожа́ть — проводи́ть,провожать — проводить,見送る,動詞,,,провожа́ть,проводи́ть,провожать—проводить,,64,文法II,動詞の体・時制選択,1,провожать — проводить,2,verb,ru→ja / ja→ru候補,провожа́ть — проводи́ть,見送る,"答え：見送る
品詞：動詞
不完了体：провожа́ть
完了体：проводи́ть
出典候補：第64回
状態：校正用・未確認",russian2,動詞対,不完了体,完了体,校正用,yes,未確認,v03追加。出典回・アクセント・訳語を要確認。,no,,0.7,,,,,,
m0278,verb_pair,переезжа́ть — пере́ехать,переезжать — переехать,引っ越す／渡る,動詞,,,переезжа́ть,пере́ехать,переезжать—переехать,,74,文法II,動詞の体・時制選択,1,переезжать — переехать,2,verb,ru→ja / ja→ru候補,переезжа́ть — пере́ехать,引っ越す／渡る,"答え：引っ越す／渡る
品詞：動詞
不完了体：переезжа́ть
完了体：пере́ехать
出典候補：第74回
状態：校正用・未確認",russian2,動詞対,不完了体,完了体,校正用,yes,未確認,v03追加。出典回・アクセント・訳語を要確認。,no,,0.7,,,,,,
m0279,verb_pair,поднима́ться — подня́ться,подниматься — подняться,上がる／登る,動詞,,,поднима́ться,подня́ться,подниматься—подняться,,76,文法II,動詞の体・時制選択,1,подниматься — подняться,2,verb,ru→ja / ja→ru候補,поднима́ться — подня́ться,上がる／登る,"答え：上がる／登る
品詞：動詞
不完了体：поднима́ться
完了体：подня́ться
出典候補：第76回
状態：校正用・未確認",russian2,動詞対,不完了体,完了体,校正用,yes,未確認,v03追加。出典回・アクセント・訳語を要確認。,no,,0.7,,,,,,
m0280,verb_pair,опуска́ться — опусти́ться,опускаться — опуститься,下がる／降りる,動詞,,,опуска́ться,опусти́ться,опускаться—опуститься,,78,文法II,動詞の体・時制選択,1,опускаться — опуститься,2,verb,ru→ja / ja→ru候補,опуска́ться — опусти́ться,下がる／降りる,"答え：下がる／降りる
品詞：動詞
不完了体：опуска́ться
完了体：опусти́ться
出典候補：第78回
状態：校正用・未確認",russian2,動詞対,不完了体,完了体,校正用,yes,未確認,v03追加。出典回・アクセント・訳語を要確認。,no,,0.7,,,,,,
m0281,verb_pair,умыва́ться — умы́ться,умываться — умыться,顔を洗う,動詞,,,умыва́ться,умы́ться,умываться—умыться,,60,文法II,動詞の体・時制選択,1,умываться — умыться,2,verb,ru→ja / ja→ru候補,умыва́ться — умы́ться,顔を洗う,"答え：顔を洗う
品詞：動詞
不完了体：умыва́ться
完了体：умы́ться
出典候補：第60回
状態：校正用・未確認",russian2,動詞対,不完了体,完了体,校正用,yes,未確認,v03追加。出典回・アクセント・訳語を要確認。,no,,0.7,,,,,,
m0282,verb_pair,путеше́ствовать — попутеше́ствовать,путешествовать — попутешествовать,旅行する,動詞,,,путеше́ствовать,попутеше́ствовать,путешествовать—попутешествовать,,70,文法II,動詞の体・時制選択,1,путешествовать — попутешествовать,2,verb,ru→ja / ja→ru候補,путеше́ствовать — попутеше́ствовать,旅行する,"答え：旅行する
品詞：動詞
不完了体：путеше́ствовать
完了体：попутеше́ствовать
出典候補：第70回
状態：校正用・未確認",russian2,動詞対,不完了体,完了体,校正用,yes,未確認,v03追加。出典回・アクセント・訳語を要確認。,no,,0.7,,,,,,
m0283,verb_pair,фотографи́ровать — сфотографи́ровать,фотографировать — сфотографировать,写真を撮る,動詞,,,фотографи́ровать,сфотографи́ровать,фотографировать—сфотографировать,,72,文法II,動詞の体・時制選択,1,фотографировать — сфотографировать,2,verb,ru→ja / ja→ru候補,фотографи́ровать — сфотографи́ровать,写真を撮る,"答え：写真を撮る
品詞：動詞
不完了体：фотографи́ровать
完了体：сфотографи́ровать
出典候補：第72回
状態：校正用・未確認",russian2,動詞対,不完了体,完了体,校正用,yes,未確認,v03追加。出典回・アクセント・訳語を要確認。,no,,0.7,,,,,,
m0284,verb_pair,пла́вать — попла́вать,плавать — поплавать,泳ぐ,動詞,,,пла́вать,попла́вать,плавать—поплавать,,74,文法II,動詞の体・時制選択,1,плавать — поплавать,2,verb,ru→ja / ja→ru候補,пла́вать — попла́вать,泳ぐ,"答え：泳ぐ
品詞：動詞
不完了体：пла́вать
完了体：попла́вать
出典候補：第74回
状態：校正用・未確認",russian2,動詞対,不完了体,完了体,校正用,yes,未確認,v03追加。出典回・アクセント・訳語を要確認。,no,,0.7,,,,,,
m0285,verb_pair,гуля́ть — погуля́ть,гулять — погулять,散歩する,動詞,,,гуля́ть,погуля́ть,гулять—погулять,,76,文法II,動詞の体・時制選択,1,гулять — погулять,2,verb,ru→ja / ja→ru候補,гуля́ть — погуля́ть,散歩する,"答え：散歩する
品詞：動詞
不完了体：гуля́ть
完了体：погуля́ть
出典候補：第76回
状態：校正用・未確認",russian2,動詞対,不完了体,完了体,校正用,yes,未確認,v03追加。出典回・アクセント・訳語を要確認。,no,,0.7,,,,,,
m0286,verb_pair,наблюда́ть — понаблюда́ть,наблюдать — понаблюдать,観察する,動詞,,,наблюда́ть,понаблюда́ть,наблюдать—понаблюдать,,78,文法II,動詞の体・時制選択,1,наблюдать — понаблюдать,2,verb,ru→ja / ja→ru候補,наблюда́ть — понаблюда́ть,観察する,"答え：観察する
品詞：動詞
不完了体：наблюда́ть
完了体：понаблюда́ть
出典候補：第78回
状態：校正用・未確認",russian2,動詞対,不完了体,完了体,校正用,yes,未確認,v03追加。出典回・アクセント・訳語を要確認。,no,,0.7,,,,,,
m0287,verb_pair,влия́ть — повлия́ть,влиять — повлиять,影響する,動詞,,,влия́ть,повлия́ть,влиять—повлиять,,82,文法II,動詞の体・時制選択,1,влиять — повлиять,2,verb,ru→ja / ja→ru候補,влия́ть — повлия́ть,影響する,"答え：影響する
品詞：動詞
不完了体：влия́ть
完了体：повлия́ть
出典候補：第82回
状態：校正用・未確認",russian2,動詞対,不完了体,完了体,校正用,yes,未確認,v03追加。出典回・アクセント・訳語を要確認。,no,,0.7,,,,,,
m0288,verb_pair,защища́ть — защити́ть,защищать — защитить,守る／保護する,動詞,,,защища́ть,защити́ть,защищать—защитить,,84,文法II,動詞の体・時制選択,1,защищать — защитить,2,verb,ru→ja / ja→ru候補,защища́ть — защити́ть,守る／保護する,"答え：守る／保護する
品詞：動詞
不完了体：защища́ть
完了体：защити́ть
出典候補：第84回
状態：校正用・未確認",russian2,動詞対,不完了体,完了体,校正用,yes,未確認,v03追加。出典回・アクセント・訳語を要確認。,no,,0.7,,,,,,
m0289,verb_pair,развива́ть — разви́ть,развивать — развить,発展させる,動詞,,,развива́ть,разви́ть,развивать—развить,,86,文法II,動詞の体・時制選択,1,развивать — развить,2,verb,ru→ja / ja→ru候補,развива́ть — разви́ть,発展させる,"答え：発展させる
品詞：動詞
不完了体：развива́ть
完了体：разви́ть
出典候補：第86回
状態：校正用・未確認",russian2,動詞対,不完了体,完了体,校正用,yes,未確認,v03追加。出典回・アクセント・訳語を要確認。,no,,0.7,,,,,,
m0290,verb_pair,испо́льзовать — испо́льзовать,использовать — использовать,使用する,動詞,,,испо́льзовать,испо́льзовать,использовать—использовать,,60,文法II,動詞の体・時制選択,1,использовать — использовать,2,verb,ru→ja / ja→ru候補,испо́льзовать — испо́льзовать,使用する,"答え：使用する
品詞：動詞
不完了体：испо́льзовать
完了体：испо́льзовать
出典候補：第60回
状態：校正用・未確認",russian2,動詞対,不完了体,完了体,校正用,yes,未確認,v03追加。出典回・アクセント・訳語を要確認。,no,,0.7,,,,,,
m0291,verb_pair,пользова́ться — воспо́льзоваться,пользоваться — воспользоваться,利用する,動詞,,,пользова́ться,воспо́льзоваться,пользоваться—воспользоваться,,62,文法II,動詞の体・時制選択,1,пользоваться — воспользоваться,2,verb,ru→ja / ja→ru候補,пользова́ться — воспо́льзоваться,利用する,"答え：利用する
品詞：動詞
不完了体：пользова́ться
完了体：воспо́льзоваться
出典候補：第62回
状態：校正用・未確認",russian2,動詞対,不完了体,完了体,校正用,yes,未確認,v03追加。出典回・アクセント・訳語を要確認。,no,,0.7,,,,,,
m0292,verb_pair,создава́ть — созда́ть,создавать — создать,作る／創造する,動詞,,,создава́ть,созда́ть,создавать—создать,,64,文法II,動詞の体・時制選択,1,создавать — создать,2,verb,ru→ja / ja→ru候補,создава́ть — созда́ть,作る／創造する,"答え：作る／創造する
品詞：動詞
不完了体：создава́ть
完了体：созда́ть
出典候補：第64回
状態：校正用・未確認",russian2,動詞対,不完了体,完了体,校正用,yes,未確認,v03追加。出典回・アクセント・訳語を要確認。,no,,0.7,,,,,,
m0293,verb_pair,стро́ить — постро́ить,строить — построить,建てる／構築する,動詞,,,стро́ить,постро́ить,строить—построить,,66,文法II,動詞の体・時制選択,1,строить — построить,2,verb,ru→ja / ja→ru候補,стро́ить — постро́ить,建てる／構築する,"答え：建てる／構築する
品詞：動詞
不完了体：стро́ить
完了体：постро́ить
出典候補：第66回
状態：校正用・未確認",russian2,動詞対,不完了体,完了体,校正用,yes,未確認,v03追加。出典回・アクセント・訳語を要確認。,no,,0.7,,,,,,
m0294,verb_pair,расти́ — вы́расти,расти — вырасти,成長する／増える,動詞,,,расти́,вы́расти,расти—вырасти,,68,文法II,動詞の体・時制選択,1,расти — вырасти,2,verb,ru→ja / ja→ru候補,расти́ — вы́расти,成長する／増える,"答え：成長する／増える
品詞：動詞
不完了体：расти́
完了体：вы́расти
出典候補：第68回
状態：校正用・未確認",russian2,動詞対,不完了体,完了体,校正用,yes,未確認,v03追加。出典回・アクセント・訳語を要確認。,no,,0.7,,,,,,
m0295,verb_pair,страда́ть — пострада́ть,страдать — пострадать,苦しむ／被害を受ける,動詞,,,страда́ть,пострада́ть,страдать—пострадать,,72,文法II,動詞の体・時制選択,1,страдать — пострадать,2,verb,ru→ja / ja→ru候補,страда́ть — пострада́ть,苦しむ／被害を受ける,"答え：苦しむ／被害を受ける
品詞：動詞
不完了体：страда́ть
完了体：пострада́ть
出典候補：第72回
状態：校正用・未確認",russian2,動詞対,不完了体,完了体,校正用,yes,未確認,v03追加。出典回・アクセント・訳語を要確認。,no,,0.7,,,,,,
m0296,verb_pair,интересова́ться — заинтересова́ться,интересоваться — заинтересоваться,興味を持つ,動詞,,,интересова́ться,заинтересова́ться,интересоваться—заинтересоваться,,74,文法II,動詞の体・時制選択,1,интересоваться — заинтересоваться,2,verb,ru→ja / ja→ru候補,интересова́ться — заинтересова́ться,興味を持つ,"答え：興味を持つ
品詞：動詞
不完了体：интересова́ться
完了体：заинтересова́ться
出典候補：第74回
状態：校正用・未確認",russian2,動詞対,不完了体,完了体,校正用,yes,未確認,v03追加。出典回・アクセント・訳語を要確認。,no,,0.7,,,,,,
m0297,verb_pair,улыба́ться — улыбну́ться,улыбаться — улыбнуться,微笑む,動詞,,,улыба́ться,улыбну́ться,улыбаться—улыбнуться,,78,文法II,動詞の体・時制選択,1,улыбаться — улыбнуться,2,verb,ru→ja / ja→ru候補,улыба́ться — улыбну́ться,微笑む,"答え：微笑む
品詞：動詞
不完了体：улыба́ться
完了体：улыбну́ться
出典候補：第78回
状態：校正用・未確認",russian2,動詞対,不完了体,完了体,校正用,yes,未確認,v03追加。出典回・アクセント・訳語を要確認。,no,,0.7,,,,,,
m0298,verb_pair,пла́кать — запла́кать,плакать — заплакать,泣く,動詞,,,пла́кать,запла́кать,плакать—заплакать,,82,文法II,動詞の体・時制選択,1,плакать — заплакать,2,verb,ru→ja / ja→ru候補,пла́кать — запла́кать,泣く,"答え：泣く
品詞：動詞
不完了体：пла́кать
完了体：запла́кать
出典候補：第82回
状態：校正用・未確認",russian2,動詞対,不完了体,完了体,校正用,yes,未確認,v03追加。出典回・アクセント・訳語を要確認。,no,,0.7,,,,,,
m0299,verb_pair,смея́ться — засмея́ться,смеяться — засмеяться,笑う,動詞,,,смея́ться,засмея́ться,смеяться—засмеяться,,84,文法II,動詞の体・時制選択,1,смеяться — засмеяться,2,verb,ru→ja / ja→ru候補,смея́ться — засмея́ться,笑う,"答え：笑う
品詞：動詞
不完了体：смея́ться
完了体：засмея́ться
出典候補：第84回
状態：校正用・未確認",russian2,動詞対,不完了体,完了体,校正用,yes,未確認,v03追加。出典回・アクセント・訳語を要確認。,no,,0.7,,,,,,
m0300,verb_pair,мечта́ть — помечта́ть,мечтать — помечтать,夢見る,動詞,,,мечта́ть,помечта́ть,мечтать—помечтать,,86,文法II,動詞の体・時制選択,1,мечтать — помечтать,2,verb,ru→ja / ja→ru候補,мечта́ть — помечта́ть,夢見る,"答え：夢見る
品詞：動詞
不完了体：мечта́ть
完了体：помечта́ть
出典候補：第86回
状態：校正用・未確認",russian2,動詞対,不完了体,完了体,校正用,yes,未確認,v03追加。出典回・アクセント・訳語を要確認。,no,,0.7,,,,,,
m0301,verb_pair,наде́яться — понаде́яться,надеяться — понадеяться,期待する／望む,動詞,,,наде́яться,понаде́яться,надеяться—понадеяться,,60,文法II,動詞の体・時制選択,1,надеяться — понадеяться,2,verb,ru→ja / ja→ru候補,наде́яться — понаде́яться,期待する／望む,"答え：期待する／望む
品詞：動詞
不完了体：наде́яться
完了体：понаде́яться
出典候補：第60回
状態：校正用・未確認",russian2,動詞対,不完了体,完了体,校正用,yes,未確認,v03追加。出典回・アクセント・訳語を要確認。,no,,0.7,,,,,,
m0302,verb_pair,понима́ть — поня́ть,понимать — понять,理解する,動詞,,,понима́ть,поня́ть,понимать—понять,,62,文法II,動詞の体・時制選択,1,понимать — понять,2,verb,ru→ja / ja→ru候補,понима́ть — поня́ть,理解する,"答え：理解する
品詞：動詞
不完了体：понима́ть
完了体：поня́ть
出典候補：第62回
状態：校正用・未確認",russian2,動詞対,不完了体,完了体,校正用,yes,未確認,v03追加。出典回・アクセント・訳語を要確認。,no,,0.7,,,,,,
m0303,verb_pair,ду́мать — подумать,думать — подумать,考える,動詞,,,ду́мать,подумать,думать—подумать,,64,文法II,動詞の体・時制選択,1,думать — подумать,2,verb,ru→ja / ja→ru候補,ду́мать — подумать,考える,"答え：考える
品詞：動詞
不完了体：ду́мать
完了体：подумать
出典候補：第64回
状態：校正用・未確認",russian2,動詞対,不完了体,完了体,校正用,yes,未確認,v03追加。出典回・アクセント・訳語を要確認。,no,,0.7,,,,,,
